Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Jonathan Taylor;6813;2024;7;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;8;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;9;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;10;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;11;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;12;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;13;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;14;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;15;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2024;16;Arneee;16240000,00 ;16240000,00 ;1015000,00 ;1015000,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;0;Arneee;14700000,00 ;14700000,00 ;;;0,00 ;;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;1;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;2;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;3;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;4;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;5;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;6;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;7;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;8;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;9;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;10;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;11;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;12;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;13;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;14;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;15;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
Austin Ekeler;4663;2021;16;Arneee;14700000,00 ;14700000,00 ;918750,00 ;918750,00 ;0,00 ;16;Roster;;2024;;;;;;;
