Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende;;;;;;;
Jonathan Taylor;6813;2021;1;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;2;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;3;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;4;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;5;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;6;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;7;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;8;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;9;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;10;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;11;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;12;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;13;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;14;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;15;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Jonathan Taylor;6813;2021;16;Arneee;16240000 ;16240000 ;1015000 ;1015000 ;0,00 ;16;Roster;;2024;;;;;;;
Kaden Smith;6146;2021;0;Arneee;1000000 ;300000 ;0 ;0 ;0,00 ;;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;1;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;2;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;3;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;4;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;5;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;6;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;7;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;8;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;9;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;10;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;11;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;12;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;13;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;14;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;15;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kaden Smith;6146;2021;16;Arneee;1000000 ;300000 ;62500 ;18750 ;0,00 ;16;Taxi;;2021;;;;;;;
Kelvin Harmon;5884;2021;0;Arneee;1620000 ;1200000 ;;;0,00 ;;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;1;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;2;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;3;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;4;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;5;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;6;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;7;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;8;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;9;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;10;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;11;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;12;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;13;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;14;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;15;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Kelvin Harmon;5884;2021;16;Arneee;1620000 ;1200000 ;101250 ;75000 ;0,00 ;16;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;0;Arneee;7452000 ;5520000 ;;;0,00 ;;Roster;;2023;;;;;;;
Raheem Mostert;2749;2021;1;Arneee;7452000 ;5520000 ;465750 ;345000 ;0,00 ;16;Roster;;2023;;;;;;;
